IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",233.2
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",239.41
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",245.1925
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",250.795
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",256.255
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",261.58
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",266.7675
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",271.81
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",276.6675
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",16,"American Samoa","AS","ASM",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",281.24
