,Historical population data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time horizon: Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combined unit of measure: Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time period,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reference area: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"15,788,312","16,018,350","16,263,874","16,532,164","16,814,416","17,065,128","17,284,036","17,478,635","17,634,808","17,805,468","18,004,882","18,224,767","18,423,037","18,607,584","18,812,264","19,028,802","19,274,701","19,495,210","19,720,737","19,932,722","20,176,844","20,450,966","20,827,622","21,249,199","21,691,653","22,031,750","22,340,024","22,733,465","23,128,129","23,475,686","23,815,995","24,190,907","24,594,202","24,966,643","25,340,217","25,655,289","25,688,079","25,978,935",
,Reference area: Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"7,564,984","7,569,794","7,574,586","7,585,317","7,619,566","7,677,850","7,754,891","7,840,709","7,905,632","7,936,118","7,948,278","7,959,016","7,968,041","7,976,789","7,992,323","8,011,566","8,042,293","8,082,121","8,118,245","8,169,441","8,225,278","8,267,948","8,295,189","8,321,541","8,341,483","8,361,069","8,388,534","8,426,311","8,477,230","8,543,932","8,629,519","8,739,806","8,795,073","8,837,707","8,877,637","8,916,845","8,951,520","9,052,856",
,Reference area: Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"9,858,309","9,861,824","9,870,234","9,901,665","9,937,697","9,967,378","10,004,486","10,045,165","10,084,479","10,115,601","10,136,814","10,156,641","10,181,246","10,203,012","10,226,419","10,251,251","10,286,571","10,332,786","10,376,131","10,421,136","10,478,620","10,547,956","10,624,835","10,709,108","10,796,498","10,895,591","10,993,609","11,067,748","11,125,033","11,179,778","11,238,474","11,295,003","11,349,081","11,403,740","11,462,023","11,506,938","11,552,615","11,640,788",
