Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,"3,166.00","3,193.00","3,332.00","3,497.00","3,532.00","3,634.00","3,796.00","4,068.00","4,066.50","4,349.40","4,432.20","4,515.60","4,485.50","4,428.40","4,401.80","4,510.90","4,544.50","4,479.10","4,584.20","4,693.00","4,841.20","4,928.20","5,043.40","7,293.10","7,317.50"
Belgium,"2,558.50","2,852.10","3,541.40","3,876.00","3,806.00","4,130.80","4,188.90","4,385.80","4,580.40","4,634.00","4,906.30","4,650.90","4,591.70","4,639.30","4,661.20","4,617.50","4,669.20","4,670.50","4,567.00","4,666.10","4,553.80","4,592.40","4,709.10","8,430.70","8,711.60"
Czechia,0,193,333,347,379,423,424,557,561,614.3,695.2,697.5,778.5,"1,022.40","1,176.70","1,401.90","1,410.40","1,429.60","1,577.90","1,786.40","2,590.90","2,593.90","2,674.90","3,102.10","3,331.60"
Denmark,"2,760.00","2,784.00","2,968.00","3,191.00","3,268.00","3,350.00","3,434.00","3,588.00","3,783.00","3,818.00","4,109.00","4,385.00","4,076.00","4,076.00","4,679.00","4,409.00","4,485.00","4,493.00","4,610.00","4,702.00","4,680.00","4,654.00","4,861.60","4,702.20","4,453.50"
Finland,886,949.6,"1,036.20","1,143.80","1,024.70",965.6,"1,018.00","1,058.00","1,018.20","1,042.30","1,189.20","1,295.50","1,268.40","1,268.00","1,625.00","1,837.00","2,009.10","2,172.20","2,423.50","2,678.40","2,785.70","3,018.20","3,092.30","3,350.90","3,470.10"
France,"13,646.00","14,655.00","15,657.00","16,482.00","17,928.00","19,158.00","18,777.00","20,049.00","20,736.00","21,459.00","22,183.00","22,885.00","23,587.00","24,107.00","24,626.00","24,802.00","24,977.00","25,464.00","25,951.00","26,262.90","26,540.70","26,811.40","26,806.10","26,825.90","28,991.60"
Germany,"23,859.00","24,229.00","26,874.00","27,818.00","27,333.00","29,743.00","28,854.00","27,710.00","28,797.00","32,697.00","35,789.00","37,099.00","37,400.00","38,496.00","39,707.00","41,323.00","43,101.00","45,097.00","46,521.00","49,218.00","50,729.00","49,369.20","49,714.80","52,288.50","52,836.90"
Greece,359.6,363.3,378.1,391,402,407,382,483.2,572.7,632.1,"1,002.30",897,973,"1,014.00","1,008.00",956,863,845,851,952,"1,080.00","1,194.00","1,254.50","1,050.70","1,041.70"
Hungary,410.6,435.9,431.4,421.1,427.4,402.4,408.3,695,747,879,936,"1,085.00","1,072.00","1,195.00","1,246.00","1,379.00","1,323.00","1,532.00","1,719.00","1,846.00","1,927.00","1,895.00","1,873.00","1,803.50","1,977.10"
Iceland,12,17,20,26,27,29,34,36,11,11,15,53,36,42,48,53,55,52,75.2,86.3,74.4,89.3,106.5,111.9,141.8
