STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,CATEGORY,Category of environmentally related tax revenue,DOMAIN,Domain of environmentally related tax revenue,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,PRICE_BASE,Price base,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,CZE,Czechia,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2018,,5858.92315266415,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,CZE,Czechia,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2017,,5239.32717590398,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,CZE,Czechia,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2002,,2007.14438201647,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,DEU,Germany,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2000,,45385.8890937317,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2019,,66064.6247753923,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2018,,65962.4953086506,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,FIN,Finland,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2017,,7560.95204969372,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,FIN,Finland,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2002,,4037.89476145225,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2012,,63691.9549041943,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2011,,63533.7229995603,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2010,,60122.4692817057,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2009,,56770.4010071299,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2008,,65020.6084660323,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2005,,57371.1192399621,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2004,,57627.5210239017,,,,A,Normal value,,,2,Two,6,Millions,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,GBR,United Kingdom,TAXREV,Tax revenue,_T,All tax bases,_T,Total environment,USD,US dollar,_Z,Not applicable,2003,,49541.8567903013,,,,A,Normal value,,,2,Two,6,Millions,,,,
