STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EXPENDITURE,Expenditure,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2014,,0.82,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2013,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2012,,3.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2011,,-22.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2010,,-32.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2009,,0.61,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2008,,4.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2007,,3.76,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2021,,-0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2023(1.0),"Public finance and procurement by function - Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_P5L_S13,Percentage of general government investment,S13,General government,GF05,Environmental protection,2023,2023,PF,Public finance,2020,,0.69,,A,Normal value,0,Units,_Z,Not applicable,,
