STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,CATEGORY,Category of environmentally related tax revenue,DOMAIN,Domain of environmentally related tax revenue,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,PRICE_BASE,Price base,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Reference year price,CURRENCY,Currency
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD,OECD,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2010,,0.0399767929008493,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD,OECD,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2009,,0.0399489223134735,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,OECD,OECD,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2008,,0.038573028855907,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,ISL,Iceland,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2006,,0.304121169152736,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,AUT,Austria,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2019,,0.235436816259483,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,AUT,Austria,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2018,,0.265244205754921,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,CHE,Switzerland,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,1998,,1.07392956407923,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,CHE,Switzerland,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,1997,,0.970553783868728,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,AUT,Austria,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2012,,0.277444050117959,,,,A,Normal value,,,2,Two,0,Units,,,,
DATAFLOW,OECD.ENV.EPI:DSD_ERTR@DF_ERTR(1.0),Environmentally related tax revenue,I,A,Annual,AUT,Austria,TAXREV,Tax revenue,_T,All tax bases,SLID_WST,Solid waste,PT_B1GQ,Percentage of GDP,_Z,Not applicable,2011,,0.272325943690596,,,,A,Normal value,,,2,Two,0,Units,,,,
